file	rule_selector	dropped_branch	missing_classes	missing_ids	action
src/css/components/UPC.css	.carousel-collection .card-front, .carousel-collection .card-back	.carousel-collection .card-back	card-back		drop-branch
src/css/components/UPC.css	.carousel-collection .card-back	.carousel-collection .card-back	card-back		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-canvas	.carousel-collection .card-back-canvas	card-back-canvas		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-side	.carousel-collection .card-back-side	card-back-side		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-side::before, .carousel-collection .card-back-side::after	.carousel-collection .card-back-side::before	card-back-side		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-side::before, .carousel-collection .card-back-side::after	.carousel-collection .card-back-side::after	card-back-side		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-year	.carousel-collection .card-back-year	card-back-year		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-romb, .carousel-collection .card-back-romb-s	.carousel-collection .card-back-romb	card-back-romb		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-romb, .carousel-collection .card-back-romb-s	.carousel-collection .card-back-romb-s	card-back-romb-s		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-live	.carousel-collection .card-back-live	card-back-live		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-content	.carousel-collection .card-back-content	card-back-content		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-content::before, .carousel-collection .card-back-content::after	.carousel-collection .card-back-content::before	card-back-content		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-content::before, .carousel-collection .card-back-content::after	.carousel-collection .card-back-content::after	card-back-content		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-inner	.carousel-collection .card-back-inner	card-back-inner		drop-rule
src/css/components/UPC.css	.carousel-collection .card-title	.carousel-collection .card-title	card-title		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-sep	.carousel-collection .card-back-sep	card-back-sep		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-sep-line-l, .carousel-collection .card-back-sep-line-r	.carousel-collection .card-back-sep-line-l	card-back-sep-line-l		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-sep-line-l, .carousel-collection .card-back-sep-line-r	.carousel-collection .card-back-sep-line-r	card-back-sep-line-r		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-sep-line-r	.carousel-collection .card-back-sep-line-r	card-back-sep-line-r		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-sep-diamond	.carousel-collection .card-back-sep-diamond	card-back-sep-diamond		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta	.carousel-collection .card-back-meta	card-back-meta		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta-col	.carousel-collection .card-back-meta-col	card-back-meta-col		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta-col:nth-of-type(2):not(#__av_prio_a#__av_prio_b), .carousel-collection .card-back-meta-div:not(#__av_prio_a#__av_prio_b), .carousel-collection .card-back-meta-stars:not(#__av_prio_a#__av_prio_b)	.carousel-collection .card-back-meta-col:nth-of-type(2):not(#__av_prio_a#__av_prio_b)	card-back-meta-col		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta-col:nth-of-type(2):not(#__av_prio_a#__av_prio_b), .carousel-collection .card-back-meta-div:not(#__av_prio_a#__av_prio_b), .carousel-collection .card-back-meta-stars:not(#__av_prio_a#__av_prio_b)	.carousel-collection .card-back-meta-div:not(#__av_prio_a#__av_prio_b)	card-back-meta-div		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta-col:nth-of-type(2):not(#__av_prio_a#__av_prio_b), .carousel-collection .card-back-meta-div:not(#__av_prio_a#__av_prio_b), .carousel-collection .card-back-meta-stars:not(#__av_prio_a#__av_prio_b)	.carousel-collection .card-back-meta-stars:not(#__av_prio_a#__av_prio_b)	card-back-meta-stars		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta-label	.carousel-collection .card-back-meta-label	card-back-meta-label		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-meta-value	.carousel-collection .card-back-meta-value	card-back-meta-value		drop-rule
src/css/components/UPC.css	.carousel-collection .card-desc	.carousel-collection .card-desc	card-desc		drop-rule
src/css/components/UPC.css	.carousel-collection .card-back-btn::before, .carousel-collection .card-back-btn::after, .carousel-collection .card-back-btn-shimmer	.carousel-collection .card-back-btn-shimmer	card-back-btn-shimmer		drop-branch
src/css/components/UPC.css	.carousel-collection .card-back-btn-text	.carousel-collection .card-back-btn-text	card-back-btn-text		drop-rule
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-back-year	card-back-year		drop-branch
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-back-romb	card-back-romb		drop-branch
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-back-live	card-back-live		drop-branch
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-back-romb-s	card-back-romb-s		drop-branch
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-title	card-title		drop-branch
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-back-sep	card-back-sep		drop-branch
src/css/components/UPC.css	.carousel-collection .card.flipped .card-back-year, .carousel-collection .card.flipped .card-back-romb, .carousel-collection .card.flipped .card-back-live, .carousel-collection .card.flipped .card-back-romb-s, .carousel-collection .card.flipped .card-title, .carousel-collection .card.flipped .card-back-sep, .carousel-collection .card.flipped .card-back-meta, .carousel-collection .card.flipped .card-desc, .carousel-collection .card.flipped .card-back-btn	.carousel-collection .card.flipped .card-back-meta	card-back-meta		drop-branch
