file	rule_selector	dropped_branch	missing_classes	missing_ids	action
src/css/components/UPC.css	/* IMPORTANT: sunt 5 blocuri reale pe spate, nu 6.    Asta elimina rândul gol care împingea butoanele în afara cardului. */ .carousel-collection .av-back-sheet	/* IMPORTANT: sunt 5 blocuri reale pe spate, nu 6.    Asta elimina rândul gol care împingea butoanele în afara cardului. */ .carousel-collection .av-back-sheet	av-back-sheet		drop-rule
src/css/components/UPC.css	/* HEAD */ .carousel-collection .av-back-head	/* HEAD */ .carousel-collection .av-back-head	av-back-head		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-topline	.carousel-collection .av-back-topline	av-back-topline		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-topline i	.carousel-collection .av-back-topline i	av-back-topline		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-rating	.carousel-collection .av-back-rating	av-back-rating		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-name	.carousel-collection .av-back-name	av-back-name		drop-rule
src/css/components/UPC.css	/* DURATĂ / EPISOD / CALITATE */ .carousel-collection .av-back-trio	/* DURATĂ / EPISOD / CALITATE */ .carousel-collection .av-back-trio	av-back-trio		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-stat small, .carousel-collection .av-back-center small	.carousel-collection .av-back-stat small	av-back-stat		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-stat small, .carousel-collection .av-back-center small	.carousel-collection .av-back-center small	av-back-center		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-stat strong	.carousel-collection .av-back-stat strong	av-back-stat		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-center	.carousel-collection .av-back-center	av-back-center		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-center b	.carousel-collection .av-back-center b	av-back-center		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-center span	.carousel-collection .av-back-center span	av-back-center		drop-rule
src/css/components/UPC.css	/* DESCRIERE — ocupă spațiul disponibil, fără să împingă footer-ul. */ .carousel-collection .av-back-description	/* DESCRIERE — ocupă spațiul disponibil, fără să împingă footer-ul. */ .carousel-collection .av-back-description	av-back-description		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-description::before	.carousel-collection .av-back-description::before	av-back-description		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-description p	.carousel-collection .av-back-description p	av-back-description		drop-rule
src/css/components/UPC.css	/* POSTAT / STATUS */ .carousel-collection .av-back-footer-info	/* POSTAT / STATUS */ .carousel-collection .av-back-footer-info	av-back-footer-info		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-footer-info i	.carousel-collection .av-back-footer-info i	av-back-footer-info		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-footer-info small	.carousel-collection .av-back-footer-info small	av-back-footer-info		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-footer-info strong	.carousel-collection .av-back-footer-info strong	av-back-footer-info		drop-rule
src/css/components/UPC.css	/* ACȚIUNI — obligatoriu vizibile în interiorul cardului */ .carousel-collection .av-back-actions	/* ACȚIUNI — obligatoriu vizibile în interiorul cardului */ .carousel-collection .av-back-actions	av-back-actions		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-watch, .carousel-collection .av-back-plus	.carousel-collection .av-back-watch	av-back-watch		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-watch, .carousel-collection .av-back-plus	.carousel-collection .av-back-plus	av-back-plus		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-watch	.carousel-collection .av-back-watch	av-back-watch		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-plus	.carousel-collection .av-back-plus	av-back-plus		drop-rule
src/css/components/UPC.css	/* ============================================================    V31 — SPATE MAI MARE, MAI CURAT    - fără PLUS    - fără STATUS pe spate    - fără SHORT    - sus rămâne doar categoria:      LIVE-ACTION / CĂRȚI / FILME & SERIALE    - episod compact, fără cerc mare    ============================================================ */  .carousel-collection .av31-back	/* ============================================================    V31 — SPATE MAI MARE, MAI CURAT    - fără PLUS    - fără STATUS pe spate    - fără SHORT    - sus rămâne doar categoria:      LIVE-ACTION / CĂRȚI / FILME & SERIALE    - episod compact, fără cerc mare    ============================================================ */  .carousel-collection .av31-back	av31-back		drop-rule
src/css/components/UPC.css	/* CAP DE CARD */ .carousel-collection .av31-back-head	/* CAP DE CARD */ .carousel-collection .av31-back-head	av31-back-head		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-category	.carousel-collection .av31-category	av31-category		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-rating	.carousel-collection .av31-rating	av31-rating		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-back-head h3	.carousel-collection .av31-back-head h3	av31-back-head		drop-rule
src/css/components/UPC.css	/* DURATĂ / EP / CALITATE — compact, fără cerc mare */ .carousel-collection .av31-facts	/* DURATĂ / EP / CALITATE — compact, fără cerc mare */ .carousel-collection .av31-facts	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts > span	.carousel-collection .av31-facts > span	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts small	.carousel-collection .av31-facts small	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts b	.carousel-collection .av31-facts b	av31-facts		drop-rule
